abbrv,name,shortname,ftabbrv,slug,color,secondarycolor
Lab,Labour,Labour,Lab,lab,#E25050,#BF1F1F
LD,Liberal Democrat,Lib Dems,LD,ld,#FFC660,#DBA436
C,Conservative,Conservative,Con,con,#6DA8E1,#1369BF
PC,Plaid Cymru,Plaid,PC,pc,,
BNP,British National Party,British National Party,BNP,bnp,,
Ind,Independent,Independent,Ind,ind,,
Bean,New Millennium Bean,New Millennium Bean,Bean,bean,,
UKIP,UK Independence Party,UK Independence Party,UKIP,ukip,#CA6DBF,#A34198
Veritas,Veritas,Veritas,Veritas,veritas,,
Green,Green,Green,Green,green,#65A68C,#008066
Ch P,Christian Party,Christian Party,Ch P,ch-p,,
SNP,Scottish National Party,Scottish National Party,SNP,snp,,
SSP,Scottish Socialist Party,Scottish Socialist Party,SSP,ssp,,
SACL,Scotland Against Crooked Lawyers,Scotland Against Crooked Lawyers,SACL,sacl,,
Scot Ind,Scottish Independence Party,Scottish Independence Party,Scot Ind,scot-ind,,
Eng Ind,English Independence Party,English Independence Party,Eng Ind,eng-ind,,
FWP,Forward Wales Party,Forward Wales Party,FWP,fwp,,
Comm Brit,Communist Party of Britain,Communist Party of Britain,Comm Brit,comm-brit,,
Loony,Monster Raving Loony Party,Monster Raving Loony Party,Loony,loony,,
DUP,Democratic Unionist Party,Democratic Unionist Party,DUP,dup,,
UCUNF,Ulster Conservatives and Unionists - New Force,Ulster Conservatives and Unionists - New Force,UCUNF,ucunf,,
Alliance,Alliance,Alliance,Alliance,alliance,,
SF,Sinn Fein,Sinn Fein,SF,sf,,
SDLP,Social Democratic and Labour Party,Social Democratic and Labour Party,SDLP,sdlp,,
TUV,Traditional Unionist Voice,Traditional Unionist Voice,TUV,tuv,,
ND,No description,No description,ND,nd,,
Jacobite,Scottish Jacobite Party,Scottish Jacobite Party,Jacobite,jacobite,,
Eng Dem,English Democrats,English Democrats,Eng Dem,eng-dem,,
SSCUP,Scottish Senior Citizens Unity Party,Scottish Senior Citizens Unity Party,SSCUP,sscup,,
Soc Lab,Socialist Labour Party,Socialist Labour Party,Soc Lab,soc-lab,,
OCV,Operation Christian Vote,Operation Christian Vote,OCV,ocv,,
RP,The Restoration Party,The Restoration Party,RP,rp,,
Lab Co-op,Labour and Co-operative,Labour and Co-operative,Lab Co-op,lab-co-op,,
BCP,Basingstoke Common Man,Basingstoke Common Man,BCP,bcp,,
South,All The South Party,All The South Party,South,south,,
Battersea,Putting the People of Battersea First,Putting the People of Battersea First,Battersea,battersea,,
MP Expense,A Vote Against MP Expense Abuse,A Vote Against MP Expense Abuse,MP Expense,mp-expense,,
Forum,Open-Forum,Open-Forum,Forum,forum,,
Lib,Liberal,Liberal,Lib,lib,,
Respect,Respect the Unity Coalition,Respect the Unity Coalition,Respect,respect,,
Pirate,Pirate Party UK,Pirate Party UK,Pirate,pirate,,
Voice,United Voice,United Voice,Voice,voice,,
Trust,Trust,Trust,Trust,trust,,
Impact,Impact Party,Impact Party,Impact,impact,,
NF,National Front,National Front,NF,nf,,
Soc Dem,Social Democratic Party,Social Democratic Party,Soc Dem,soc-dem,,
Good,The Common Good,The Common Good,Good,good,,
LLPBPP,Local Liberals People Before Politics Party,Local Liberals People Before Politics Party,LLPBPP,llpbpp,,
BIB,Bushra Irfan of Blackburn,Bushra Irfan of Blackburn,BIB,bib,,
Integrity,Integrity UK,Integrity UK,Integrity,integrity,,
Blaenau Voice,Blaenau Gwent People's Voice,Blaenau Gwent People's Voice,Blaenau Voice,blaenau-voice,,
Ind Davies,Independent Davies,Independent Davies,Ind Davies,ind-davies,,
Ind Law,Independent Law,Independent Law,Ind Law,ind-law,,
You,You Party,You Party,You,you,,
CPA,Christian Peoples Alliance,Christian Peoples Alliance,CPA,cpa,,
TUSC,Trade Unionist and Socialist Coalition,Trade Unionist and Socialist Coalition,TUSC,tusc,,
Science,The Science Party,The Science Party,Science,science,,
SMA,Scrap Members Allowances,Scrap Members Allowances,SMA,sma,,
D Nat,Democratic Nationalist,Democratic Nationalist,D Nat,d-nat,,
R and E,Citizens for Undead Rights and Equality,Citizens for Undead Rights and Equality,R and E,r-and-e,,
BIC,Bromsgrove Independent Conservative,Bromsgrove Independent Conservative,BIC,bic,,
Speaker,The Speaker,The Speaker,Speaker,speaker,,
Deficit,Cut the Deficit Party,Cut the Deficit Party,Deficit,deficit,,
Burnley,Burnley First Independent,Burnley First Independent,Burnley,burnley,,
WRP,Workers' Revolutionary Party,Workers' Revolutionary Party,WRP,wrp,,
Workers Lib,Alliance for Workers Liberty,Alliance for Workers Liberty,Workers Lib,workers-lib,,
Meb Ker,Mebyon Kernow,Mebyon Kernow,Meb Ker,meb-ker,,
Snouts,Get Snouts Out TheTrough,Get Snouts Out TheTrough,Snouts,snouts,,
MRP,Money Reform Party,Money Reform Party,MRP,mrp,,
Vote Dream,Vote for yourself rainbow dream ticket,Vote for yourself rainbow dream ticket,Vote Dream,vote-dream,,
Comm,Communist Party,Communist Party,Comm,comm,,
Green Belt,Independent Save Our Green Belt,Independent Save Our Green Belt,Green Belt,green-belt,,
Beer,Reduce Tax on Beer Party,Reduce Tax on Beer Party,Beer,beer,,
Ind CCF,New Independent Conservative Chelsea and Fulham,New Independent Conservative Chelsea and Fulham,Ind CCF,ind-ccf,,
Blue,Blue Environment Party,Blue Environment Party,Blue,blue,,
Tendring,Tendring First,Tendring First,Tendring,tendring,,
PP Essex,Peoples Party Essex,Peoples Party Essex,PP Essex,pp-essex,,
Soc Alt,Socialist Alternative Party,Socialist Alternative Party,Soc Alt,soc-alt,,
Ch M,Christian Movement for Great Britain,Christian Movement for Great Britain,Ch M,ch-m,,
JP,Justice Party,Justice Party,JP,jp,,
Dem Soc All,Democratic Socialist Alliance - People Before Profit,Democratic Socialist Alliance - People Before Profit,Dem Soc All,dem-soc-all,,
FDP,Fancy Dress Party,Fancy Dress Party,FDP,fdp,,
Humanity,Humanity,Humanity,Humanity,humanity,,
Libertarian,Libertarian Party,Libertarian Party,Libertarian,libertarian,,
YP,Go Mad and Vote For Yourself Party,Go Mad and Vote For Yourself Party,YP,yp,,
LCA,Legalise Cannabis Alliance,Legalise Cannabis Alliance,LCA,lca,,
PRTYP,Personality And Rational Thinking? Yes! Party,Personality And Rational Thinking? Yes! Party,PRTYP,prtyp,,
Wessex Reg,Wessex Regionalist,Wessex Regionalist,Wessex Reg,wessex-reg,,
UUP,Ulster Unionist Party,Ulster Unionist Party,UUP,uup,,
SCP,Scottish Christian Party,Scottish Christian Party,SCP,scp,,
Abolish Tolls,Abolish Forth Bridge Tolls Party,Abolish Forth Bridge Tolls Party,Abolish Tolls,abolish-tolls,,
Ind EACPS,Independent Ealing Action Communities Public Services,Independent Ealing Action Communities Public Services,Ind EACPS,ind-eacps,,
Ind Houston,Independent Houston,Independent Houston,Ind Houston,ind-houston,,
Nat Lib,National Liberal Party,National Liberal Party,Nat Lib,nat-lib,,
DDTP,Death Dungeons & Taxes Party,Death Dungeons & Taxes Party,DDTP,ddtp,,
Comm Lge,Communist League,Communist League,Comm Lge,comm-lge,,
Reform,Reform 2000,Reform 2000,Reform,reform,,
BB,A Better Britain for All,A Better Britain for All,BB,bb,,
RRG,Radical Reform Group,Radical Reform Group,RRG,rrg,,
Best,The Best of a Bad Bunch,The Best of a Bad Bunch,Best,best,,
EEP,English Parliamentary Party,English Parliamentary Party,EEP,eep,,
PBP,People Before Profit,People Before Profit,PBP,pbp,,
Med Ind,Medway Independent,Medway Independent,Med Ind,med-ind,,
Solidarity,Solidarity,Solidarity,Solidarity,solidarity,,
Choice,Freedom-4-Choice,Freedom-4-Choice,Choice,choice,,
Jury Team,Jury Team,Jury Team,Jury Team,jury-team,,
TILT,The Individuals Labour and Tory,The Individuals Labour and Tory,TILT,tilt,,
Scot U,Scottish Unionist,Scottish Unionist,Scot U,scot-u,,
Ind Green,Independent Green,Independent Green,Ind Green,ind-green,,
PPS,Pensioners Party Scotland,Pensioners Party Scotland,PPS,pps,,
Lincs Ind,Lincolnshire Independents,Lincolnshire Independents,Lincs Ind,lincs-ind,,
PNDP,People's National Democratic Party,People's National Democratic Party,PNDP,pndp,,
LTT,Lawfulness Trustworthiness and Transparency,Lawfulness Trustworthiness and Transparency,LTT,ltt,,
PPN-V,"Peace Party, non-violence, justice, environment","Peace Party, non-violence, justice, environment",PPN-V,ppn-v,,
Magna Carta,Magna Carta Party,Magna Carta Party,Magna Carta,magna-carta,,
DDP,Direct Democracy Party,Direct Democracy Party,DDP,ddp,,
Ind Voice,Independent Voice for Halifax,Independent Voice for Halifax,Ind Voice,ind-voice,,
J & AC,Justice & Anti-Corruption Party,Justice & Anti-Corruption Party,J & AC,j-and-ac,,
TOC,Tamsin Omond to the Commons,Tamsin Omond to the Commons,TOC,toc,,
YRDPL,Your Right to Democracy Party Limited,Your Right to Democracy Party Limited,YRDPL,yrdpl,,
APP,Animal Protection Party,Animal Protection Party,APP,app,,
King George,Save King George Hospital,Save King George Hospital,King George,king-george,,
BPP,British Public Party,British Public Party,BPP,bpp,,
Joy,The Joy of Talk,The Joy of Talk,Joy,joy,,
Publican,Publican Party - Free to Smoke (Pubs),Publican Party - Free to Smoke (Pubs),Publican,publican,,
Mid England,Middle England Party,Middle England Party,Mid England,mid-england,,
Animals,Animals Count,Animals Count,Animals,animals,,
Green Soc,Alliance for Green Socialism,Alliance for Green Socialism,Green Soc,green-soc,,
BP Elvis,Bus-Pass Elvis Party,Bus-Pass Elvis Party,BP Elvis,bp-elvis,,
Land,Land is Power,Land is Power,Land,land,,
Scot Senior,Scottish Senior Citizens Party,Scottish Senior Citizens Party,Scot Senior,scot-senior,,
